session,bash-count,shell-count,exit-count,help-count,passwd-count,chpass-count,usradd-count,sh-count,bslash-count,fslash-count,perl-count,python-count,chmod-count,sudo-count,rm-count,history-count,cat-count,uname-count,wc-count,crontab-count,w-count,ps-count,free-count,lscpu-count,nproc-count,uptime-count,wget-count,tftp-count,scp-count,ping-count,kill-count,reboot-count,r1-count,r2-count,r3-count,rcd1-size,rcd2_size,mlen-count,url_count,prot,src,ssh_client,duration,rcd_size,continet,cntry,regioin-code,city-name,lat,long,region-code,target
3646,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,7,0,31,0,0,0,0.0,1.286186934,9,2,13,7,12,-8.95,51.9,7,0
6616,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,31,0,0,0,0.0,0.852383137,2,2,13,7,12,-8.95,51.9,7,0
5985,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,10,4,31,0,0,1,1.0,1.0531919,5,2,13,7,12,-8.95,51.9,7,1
9696,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,9,4,31,0,0,1,1.0,2.380504847,0,2,13,7,12,-8.95,51.9,7,1
4142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,5,9,5,31,0,0,1,1.0,0.959247112,6,2,13,7,12,-8.95,51.9,7,1
9503,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,31,0,0,1,1.0,0.973644018,6,2,19,62,51,4.663,51.8656,62,1
9993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,8,1,31,0,0,2,2.0,0.873611927,3,2,13,7,12,-8.95,51.9,7,2
3521,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,31,0,0,2,2.0,1.222210884,2,2,13,7,12,-8.95,51.9,7,2
35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,31,0,0,0,0.0,1.304234982,3,2,13,7,12,-8.95,51.9,7,0
3627,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,1,2,31,0,0,0,0.0,0.860291958,8,2,19,62,51,4.663,51.8656,62,0
3150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,31,0,0,2,2.0,1.268607855,1,2,13,7,12,-8.95,51.9,7,2
2966,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,6,3,31,0,0,0,0.0,0.951783895,10,2,13,7,12,-8.95,51.9,7,0
